Title,price,Location,Offer,Rating,Review,No_of_ratings,Discount,Special,City,From_Date,To_Date,id
Hotel Arabiana- Colaba,"ýýý 1,292","South Mumbai, Mumbai | 560 m from Gateway Of India Mumbai",Exclusive Offer - HDFC Credit Card Users. Get INR 627 Off,4, (Very Good),19,14%,"['Elevator/Lift', 'Air Conditioning', 'Room Service']",Mumbai,09-08-2021,11-08-2021,4921
Hotel Shubhangan,"ýýý 2,110","Khar, Mumbai | 5.1 km from T1 - Chhatrapati Shivaji International Airport",Exclusive Offer - HDFC Credit Card Users. Get INR 1025 Off,3.6, (Good),141,16%,"['Conference Room', 'Vehicle Rentals', 'Lawn']",Mumbai,09-08-2021,11-08-2021,4922
HOTEL SPENCER,"ýýý 3,451","Majiwada, Thane | 30 m from Thane",Exclusive Offer - HDFC Credit Card Users. Get INR 1257 Off,2.9,,7,24%,"['Bar', 'Elevator/Lift', 'Air Conditioning']",Mumbai,09-08-2021,11-08-2021,4923
iStay Hotels Andheri MIDC,"ýýý 1,414","Andheri East, Mumbai | 940 m from Weh Metro Station",Exclusive Offer - HDFC Credit Card Users. Get INR 1096 Off,3.7, (Good),406,16%,"['Free Parking', 'ATM', 'Elevator/Lift']",Mumbai,09-08-2021,11-08-2021,4924
Hotel Ocean Suites,"ýýý 1,399","Andheri East, Mumbai | 4.9 km from T2 - Chhatrapati Shivaji International Airport",Exclusive Offer - HDFC Credit Card Users. Get INR 1084 Off,3, (Good),159,11%,"['Free Parking', 'Business Centre', 'Conference Room']",Mumbai,09-08-2021,11-08-2021,4925
Hotel Bindra's Supremacy,"ýýý 1,975","Andheri East, Mumbai | 480 m from Marol Depot",Exclusive Offer - HDFC Credit Card Users. Get INR 959 Off,4, (Very Good),401,33%,"['Free Parking', 'Conference Room', 'Bar']",Mumbai,09-08-2021,11-08-2021,4926
Hotel Dwaraka Residency,"ýýý 4,416","Thane West, Thane",Exclusive Offer - HDFC Credit Card Users. Get INR 1608 Off,4.1, (Very Good),43,36%,"['Free Parking', 'ATM', 'Air Conditioning']",Mumbai,09-08-2021,11-08-2021,4927
Hotel Karl Residency,"ýýý 2,820","Vile Parle West, Mumbai | 800 m from Andheri Bus Station (E) Agarkar Chowk",Exclusive Offer - HDFC Credit Card Users. Get INR 720 Off,4.6, (Excellent),45,34%,"['Free Parking', 'Conference Room', 'Free Wi-Fi']",Mumbai,09-08-2021,11-08-2021,4928
Hotel Mantra Residency,ýýý 795,"Near Mumbai Airport, Mumbai | 200 m from Post And Tar Colony",Exclusive Offer - HDFC Credit Card Users. Get INR 676 Off,3.5, (Good),125,11%,"['Free Parking', 'Free Wi-Fi', 'Air Conditioning']",Mumbai,09-08-2021,11-08-2021,4929
Capital O 29143 Embassy Suites,"ýýý 1,455","Dharavi, Mumbai | 530 m from Crescenzo",Exclusive Offer - HDFC Credit Card Users. Get INR 359 Off,4, (Very Good),642,6%,"['Free Wi-Fi', 'Kitchenette', 'Air Conditioning']",Mumbai,09-08-2021,11-08-2021,4930
Prime Grand Hotel,"ýýý 1,375","Asalpha, Mumbai | 4.2 km from T2 - Chhatrapati Shivaji International Airport",Exclusive Offer - HDFC Credit Card Users. Get INR 667 Off,2.8,,47,34%,"['Free Parking', 'Free Wi-Fi', 'Air Conditioning']",Mumbai,09-08-2021,11-08-2021,4931
Royal Inn Lodging,ýýý 823,"Nalasopara East, Mumbai | 52.9 km from city centre5.0 km from Ram Mandir Bus Stop",Exclusive Offer - HDFC Credit Card Users. Get INR 210 Off,2.9,,256,51%,"['Free Parking', 'Free Wi-Fi', 'Kitchenette']",Mumbai,09-08-2021,11-08-2021,4932
Hotel Merakee,"ýýý 1,925","Mira Road East, Mumbai | 27.6 km from city centre960 m from Kashimira (E), Police Chowki",,4, (Very Good),154,63%,"['Free Parking', 'ATM', 'Free Wi-Fi']",Mumbai,09-08-2021,11-08-2021,4933
Art Residency Hotel,"ýýý 1,563","Andheri West, Mumbai | 70 m from Mhadeshwar Mandir",Exclusive Offer - HDFC Credit Card Users. Get INR 1211 Off,3.1, (Good),41,6%,"['Air Conditioning', '24-hour Room Service', 'Power Backup']",Mumbai,09-08-2021,11-08-2021,4934
Capital O 44161 Royal Palms Hotel - Lily Collection,"ýýý 1,809","Goregaon East, Mumbai | 9.7 km from T2 - Chhatrapati Shivaji International Airport",Exclusive Offer - HDFC Credit Card Users. Get INR 447 Off,4, (Very Good),14,43%,"['Free Parking', 'Conference Room', 'Free Wi-Fi']",Mumbai,09-08-2021,11-08-2021,4935
Regal Enclave,"ýýý 1,933","Khar, Mumbai | 770 m from Khar Police Thane",Exclusive Offer - HDFC Credit Card Users. Get INR 938 Off,3.5, (Good),15,25%,"['Business Centre', 'Conference Room', 'Bar']",Mumbai,09-08-2021,11-08-2021,4936
The Pacific,"ýýý 1,592","Near Mumbai Airport, Mumbai | 450 m from Jb Nagar Metro Station",Exclusive Offer - HDFC Credit Card Users. Get INR 990 Off,2.6,,296,51%,"['Free Parking', 'Elevator/Lift', 'Air Conditioning']",Mumbai,09-08-2021,11-08-2021,4937
Hotel Express Inn,"ýýý 2,676","Varsava, Mumbai | 30.0 km from city centre220 m from Ghodbundar",Exclusive Offer - HDFC Credit Card Users. Get INR 974 Off,3.8, (Good),88,16%,"['Indoor Games', 'Kids Play Area', 'Free Parking']",Mumbai,09-08-2021,11-08-2021,4938
Hotel Royal Regency,"ýýý 1,317","Malad, Mumbai | 470 m from Malad Railway Station (E)",Exclusive Offer - HDFC Credit Card Users. Get INR 1020 Off,3.7, (Good),50,20%,"['Free Parking', 'Bar', 'Free Wi-Fi']",Mumbai,09-08-2021,11-08-2021,4939
Hotel Neo Lodge Ghatkopar,"ýýý 1,752","Ghatkopar West, Mumbai | 270 m from Ghatkopar Railway Station (W)",Exclusive Offer - HDFC Credit Card Users. Get INR 1089 Off,3.8, (Good),69,11%,"['Free Wi-Fi', 'Air Conditioning', 'Room Service']",Mumbai,09-08-2021,11-08-2021,4940
Hotel Samraj,"ýýý 1,550","Near Mumbai Airport, Mumbai | 680 m from Kanakia wall street ( Near Vijay Sales )",Exclusive Offer - HDFC Credit Card Users. Get INR 1782 Off,3.1, (Good),250,40%,"['Free Parking', 'Conference Room', 'Elevator/Lift']",Mumbai,09-08-2021,11-08-2021,4941
OYO 15717 RK Residency,"ýýý 1,563","Andheri East, Mumbai | 560 m from Jb Nagar Metro Station",Exclusive Offer - HDFC Credit Card Users. Get INR 386 Off,3.9, (Good),37,20%,"['Free Wi-Fi', 'Kitchenette', 'Elevator/Lift']",Mumbai,09-08-2021,11-08-2021,4942
Pushp Vatika Resort & Lawns,"ýýý 2,644","Pale Bk., Navi Mumbai | 28.1 km from Chhatrapati Shivaji Maharaj International Airport",Exclusive Offer - HDFC Credit Card Users. Get INR 675 Off,3.5, (Good),163,41%,"['Free Parking', 'Free Wi-Fi', 'Outdoor Sports']",Mumbai,09-08-2021,11-08-2021,4943
Hotel Victoria,"ýýý 2,150","South Mumbai, Mumbai | 1.9 km from Gateway Of India Mumbai",Exclusive Offer - HDFC Credit Card Users. Get INR 1336 Off,3.9, (Good),108,51%,"['Free Wi-Fi', 'Air Conditioning', '24-hour Room Service']",Mumbai,09-08-2021,11-08-2021,4944
Hotel Bahri Residency,"ýýý 1,396","Chembur, Mumbai | 610 m from Maitri Park State Transport (ST) Bus Stop",Exclusive Offer - HDFC Credit Card Users. Get INR 1081 Off,3.9, (Good),24,15%,"['Free Parking', 'Bar', 'Elevator/Lift']",Mumbai,09-08-2021,11-08-2021,4945
OYO Flagship 76034 Hotel Magnet,"ýýý 1,234","Asalpha, Mumbai | 560 m from Sakinaka Metro Station",Exclusive Offer - HDFC Credit Card Users. Get INR 305 Off,2.9,,81,20%,"['Free Wi-Fi', 'Room Service', 'Power Backup']",Mumbai,09-08-2021,11-08-2021,4946
Sai Residency - Mira Road,"ýýý 1,055","Mira Road East, Mumbai | 27.8 km from city centre560 m from Kashimira (E), Police Chowki",Exclusive Offer - HDFC Credit Card Users. Get INR 512 Off,3.1, (Good),20,32%,"['Air Conditioning', 'Room Service', 'Power Backup']",Mumbai,09-08-2021,11-08-2021,4947
The Emerald Hotel & Service Apartments,"ýýý 2,256","Vile Parle, Mumbai | 230 m from Juhu Beach",Exclusive Offer - HDFC Credit Card Users. Get INR 576 Off,,,,51%,"['Kids Play Area', 'Free Parking', 'Business Centre']",Mumbai,09-08-2021,11-08-2021,4948
Hotel Adlon,"ýýý 1,122","Near Mumbai Airport, Mumbai | 770 m from Marol naka Metro station",Exclusive Offer - HDFC Credit Card Users. Get INR 870 Off,4, (Very Good),1,16%,"['ATM', 'Air Conditioning', 'Room Service']",Mumbai,09-08-2021,11-08-2021,4949
Atlas Grand,"ýýý 1,128","Sakinaka, Mumbai | 980 m from Sakinaka Metro Station",Exclusive Offer - HDFC Credit Card Users. Get INR 287 Off,2.9,,194,25%,"['Free Wi-Fi', 'Air Conditioning', 'Room Service']",Mumbai,09-08-2021,11-08-2021,4950
Rajhans Hotel,"ýýý 2,110","Chembur, Mumbai | 720 m from Sahakar Nagar",Exclusive Offer - HDFC Credit Card Users. Get INR 1025 Off,3.7, (Good),19,25%,"['Free Parking', 'Business Centre', 'Conference Room']",Mumbai,09-08-2021,11-08-2021,4951
Hotel Hira Palace,ýýý 990,"Grant Road, Mumbai | 800 m from Mumbai Central Railway Station",Exclusive Offer - HDFC Credit Card Users. Get INR 532 Off,3.9, (Good),41,6%,"['Free Parking', 'Air Conditioning', 'Room Service']",Mumbai,09-08-2021,11-08-2021,4952
Hotel Plaza Executive (1 Km from US Embassy),ýýý 917,"Near Mumbai Airport, Mumbai | 780 m from Sheetal Talao",Exclusive Offer - HDFC Credit Card Users. Get INR 234 Off,3.8, (Good),328,16%,"['Free Parking', 'Business Centre', 'Bar']",Mumbai,09-08-2021,11-08-2021,4953
Hotel Juhu Residency Boutique,"ýýý 5,709","Vile Parle, Mumbai | 580 m from Juhu Beach Bus Station",Exclusive Offer - HDFC Credit Card Users. Get INR 2080 Off,3.2, (Good),168,18%,"['Free Parking', 'Business Centre', 'Bakery']",Mumbai,09-08-2021,11-08-2021,4954
Hotel South Coast,"ýýý 1,963","Rabale, Navi Mumbai | 220 m from Gothivali Village Rabale Railway Station",Exclusive Offer - HDFC Credit Card Users. Get INR 715 Off,3.6, (Good),61,6%,"['Butler Services', 'Free Parking', 'Business Centre']",Mumbai,09-08-2021,11-08-2021,4955
Hotel Nice Stay,ýýý 586,"Borivali East, Mumbai | 130 m from Borivali",Exclusive Offer - HDFC Credit Card Users. Get INR 330 Off,4, (Very Good),2,11%,"['Free Parking', 'ATM', 'Free Wi-Fi']",Mumbai,09-08-2021,11-08-2021,4956
Collection O 61748 Guru Heritage Kalamboli,"ýýý 1,520","Kalamboli, Navi Mumbai",Exclusive Offer - HDFC Credit Card Users. Get INR 376 Off,4, (Very Good),55,11%,"['Free Wi-Fi', 'Kitchenette', 'Air Conditioning']",Mumbai,09-08-2021,11-08-2021,4957
HOTEL WESTERN INN,"ýýý 1,857","Vasai, Mumbai | 54.6 km from city centre890 m from Papady Talav Bus Stop",Exclusive Offer - HDFC Credit Card Users. Get INR 902 Off,2.5,,28,27%,"['Elevator/Lift', 'Air Conditioning', 'Room Service']",Mumbai,09-08-2021,11-08-2021,4958
Hotel Executive Enclave,"ýýý 2,700","Khar West, Mumbai | 740 m from Western Railway Station - Khar",,3.7, (Good),9,51%,"['Lounge', 'Free Parking', 'Conference Room']",Mumbai,09-08-2021,11-08-2021,4959
Capital O 44162 Royal Palms Hotel - Rose Collection,"ýýý 1,772","Goregaon East, Mumbai | 9.7 km from T2 - Chhatrapati Shivaji International Airport",Exclusive Offer - HDFC Credit Card Users. Get INR 438 Off,3.9, (Good),58,16%,"['Conference Room', 'Elevator/Lift', 'Air Conditioning']",Mumbai,09-08-2021,11-08-2021,4960
Hotel Midland,ýýý 846,"Near Mumbai Airport, Mumbai | 390 m from Santacruz railway station",Exclusive Offer - HDFC Credit Card Users. Get INR 216 Off,3.9, (Good),132,10%,"['Conference Room', 'Bar', 'Air Conditioning']",Mumbai,09-08-2021,11-08-2021,4961
HOTEL AISTON INN,"ýýý 1,197","Amboli, Mumbai | 270 m from Andheri Station (W)",Exclusive Offer - HDFC Credit Card Users. Get INR 927 Off,2.6,,448,51%,"['Free Wi-Fi', 'Kitchenette', 'Air Conditioning']",Mumbai,09-08-2021,11-08-2021,4962
Hotel Nest Inn,ýýý 940,"Malad, Mumbai | 540 m from Malad Railway Station (E)",Exclusive Offer - HDFC Credit Card Users. Get INR 239 Off,3.5, (Good),214,6%,"['Free Wi-Fi', 'Kitchenette', 'Lawn']",Mumbai,09-08-2021,11-08-2021,4963
Seven Hills Dormitory,ýýý 235,"Andheri East, Mumbai | 110 m from Marol Maroshi Bus Station",,3.5, (Good),56,25%,"['Luggage Storage', 'Free Wi-Fi', 'Housekeeping']",Mumbai,09-08-2021,11-08-2021,4964
Hotel Lal Sai Residency,"ýýý 2,170","Andheri West, Mumbai | 90 m from Samarth Nagar Pumping Station",Exclusive Offer - HDFC Credit Card Users. Get INR 1682 Off,3.3, (Good),27,6%,"['Yoga', 'Nearby Beach', 'Lounge']",Mumbai,09-08-2021,11-08-2021,4965
Anantha Executive Suites,"ýýý 3,128","Kanjurmarg West, Mumbai | 880 m from Kanjur Marg Station (W)",Exclusive Offer - HDFC Credit Card Users. Get INR 1944 Off,2.9,,125,6%,"['Free Parking', 'Conference Room', 'Bar']",Mumbai,09-08-2021,11-08-2021,4966
Kohinoor ATC,"ýýý 3,290","South Mumbai, Mumbai | 680 m from Veer Kotwal Udyan / Dadar Station / Plaza",Exclusive Offer - HDFC Credit Card Users. Get INR 840 Off,3.6, (Good),49,25%,"['Caretaker', 'Free Wi-Fi', 'Free Parking']",Mumbai,09-08-2021,11-08-2021,4967
Hotel Al Moazin,ýýý 711,"Mandvi, Mumbai | 850 m from Abdul Rehman Street",Exclusive Offer - HDFC Credit Card Users. Get INR 715 Off,3.5, (Good),203,25%,"['Free Parking', 'ATM', 'Vehicle Rentals']",Mumbai,09-08-2021,11-08-2021,4968
Hotel Flora Suites,"ýýý 1,983","South Mumbai, Mumbai | 1.3 km from Gateway Of India Mumbai",Exclusive Offer - HDFC Credit Card Users. Get INR 1537 Off,4.3, (Very Good),107,6%,"['Butler Services', 'ATM', 'Elevator/Lift']",Mumbai,09-08-2021,11-08-2021,4969
Hotel Solitaire,"ýýý 2,309","Near Mumbai Airport, Mumbai | 920 m from Weh Metro Station",Exclusive Offer - HDFC Credit Card Users. Get INR 1435 Off,3.5, (Good),120,66%,"['Conference Room', 'Cafe', 'Air Conditioning']",Mumbai,09-08-2021,11-08-2021,4970
Hotel Modern,"ýýý 1,339","South Mumbai, Mumbai | 1.7 km from Gateway Of India Mumbai",Exclusive Offer - HDFC Credit Card Users. Get INR 1271 Off,3.6, (Good),20,25%,"['Lounge', 'Air Conditioning', 'Room Service']",Mumbai,09-08-2021,11-08-2021,4971
Kurla Dormitory,ýýý 329,"Kurla West, Mumbai | 380 m from Utraula Consumers",,3.3, (Good),118,20%,"['Luggage Storage', 'Free Wi-Fi', 'Housekeeping']",Mumbai,09-08-2021,11-08-2021,4972
Apex Home,ýýý 588,"Borivali East, Mumbai | 450 m from Gokul Hotel Borivali (W)",Exclusive Offer - HDFC Credit Card Users. Get INR 150 Off,3.3, (Good),278,40%,"['Luggage Storage', 'Free Wi-Fi', 'Housekeeping']",Mumbai,09-08-2021,11-08-2021,4973
Aditya Residency,"ýýý 2,350","Vasai, Mumbai | 51.9 km from city centre200 m from Vasai Station (W)",Exclusive Offer - HDFC Credit Card Users. Get INR 600 Off,4.1, (Very Good),17,6%,"['Lounge', 'Kids Play Area', 'Free Parking']",Mumbai,09-08-2021,11-08-2021,4974
Oxford Hotel,"ýýý 1,380","Powai, Mumbai | 4.3 km from Chhatrapati Shivaji Maharaj International Airport",Exclusive Offer - HDFC Credit Card Users. Get INR 1069 Off,4, (Very Good),67,6%,"['Free Wi-Fi', 'Free Parking', '24-hour Room Service']",Mumbai,09-08-2021,11-08-2021,4975
Hotel Hiramani,"ýýý 2,230","South Mumbai, Mumbai | 600 m from N.M. Joshi Marg Police Station",Exclusive Offer - HDFC Credit Card Users. Get INR 812 Off,3.9, (Good),24,6%,"['Free Parking', 'ATM', 'Free Wi-Fi']",Mumbai,09-08-2021,11-08-2021,4976
Hotel Tourister,"ýýý 1,062","Girgaon, Mumbai | 760 m from Charni Road Railway Station / Safee Hospital",Exclusive Offer - HDFC Credit Card Users. Get INR 386 Off,3.8, (Good),160,33%,"['Free Wi-Fi', 'Air Conditioning', 'Room Service']",Mumbai,09-08-2021,11-08-2021,4977
Hotel Satellite,"ýýý 2,388","Near Mumbai Airport, Mumbai | 430 m from Dinanath Natyagruh Parle Station (E)",Exclusive Offer - HDFC Credit Card Users. Get INR 1484 Off,3.6, (Good),76,11%,"['Free Wi-Fi', 'Air Conditioning', '24-hour Room Service']",Mumbai,09-08-2021,11-08-2021,4978
Hotel Kc Residency ( Closed to Mumbai International Airport),ýýý 708,"Near Mumbai Airport, Mumbai | 100 m from Marol naka Metro station",Exclusive Offer - HDFC Credit Card Users. Get INR 246 Off,4, (Very Good),67,24%,"['Vehicle Rentals', 'Free Wi-Fi', 'Air Conditioning']",Mumbai,09-08-2021,11-08-2021,4979
Dragonfly Apartment Emerald,"ýýý 2,632","Near Mumbai Airport, Mumbai | 590 m from Chakala Metro Station",Exclusive Offer - HDFC Credit Card Users. Get INR 672 Off,3.8, (Good),88,20%,"['Kitchenette', 'Caretaker', 'Free Wi-Fi']",Mumbai,09-08-2021,11-08-2021,4980
Sea Green Hotel,"ýýý 3,503","Churchgate, Mumbai | 1.7 km from Gateway Of India Mumbai",Exclusive Offer - HDFC Credit Card Users. Get INR 2178 Off,2.7,,206,33%,"['Free Parking', 'Free Wi-Fi', 'Elevator/Lift']",Mumbai,09-08-2021,11-08-2021,4981
Ganesh Palace,"ýýý 2,068","Ghatkopar West, Mumbai | 70 m from Ghatkopar Railway Station (W)",Exclusive Offer - HDFC Credit Card Users. Get INR 1004 Off,4, (Very Good),49,25%,"['Kids Play Area', 'Free Parking', 'Bakery']",Mumbai,09-08-2021,11-08-2021,4982
Hotel Celeste,"ýýý 1,791","South Mumbai, Mumbai | 1.4 km from Gateway Of India Mumbai",Exclusive Offer - HDFC Credit Card Users. Get INR 1113 Off,3.7, (Good),669,20%,"['Free Parking', 'Elevator/Lift', 'Air Conditioning']",Mumbai,09-08-2021,11-08-2021,4983
Onn Shelter Inn,"ýýý 1,880","Andheri West, Mumbai | 400 m from Mhadeshwar Mandir",Exclusive Offer - HDFC Credit Card Users. Get INR 480 Off,3.3, (Good),54,16%,"['Free Wi-Fi', 'Kitchenette', 'Air Conditioning']",Mumbai,09-08-2021,11-08-2021,4984
Hotel Navi Mumbai,ýýý 978,"Vashi, Navi Mumbai | 140 m from Sector 29 Bus Stop",Exclusive Offer - HDFC Credit Card Users. Get INR 249 Off,3.4, (Good),266,20%,"['Free Parking', 'Free Wi-Fi', 'Air Conditioning']",Mumbai,09-08-2021,11-08-2021,4985
Hotel Oyster Suite,"ýýý 1,122","Andheri West, Mumbai | 640 m from Mhadeshwar Mandir",Exclusive Offer - HDFC Credit Card Users. Get INR 870 Off,3.9, (Good),58,6%,"['Free Parking', 'Air Conditioning', '24-hour Room Service']",Mumbai,09-08-2021,11-08-2021,4986
Hotel Voxton,"ýýý 1,604","Mira Road East, Mumbai | 29.0 km from city centre150 m from Queen's Park Bus Stop",Exclusive Offer - HDFC Credit Card Users. Get INR 779 Off,3.9, (Good),157,39%,"['Elevator/Lift', 'Air Conditioning', 'Room Service']",Mumbai,09-08-2021,11-08-2021,4987
Ellora Guest House,"ýýý 1,194","Borivali East, Mumbai | 750 m from National Park Gate",Exclusive Offer - HDFC Credit Card Users. Get INR 742 Off,3, (Good),27,25%,"['Free Parking', 'Bar', 'ATM']",Mumbai,09-08-2021,11-08-2021,4988
HOTEL VRINDAVAN,ýýý 856,"Panvel, Navi Mumbai | 470 m from Panvel S.T. Bus Depot",Exclusive Offer - HDFC Credit Card Users. Get INR 385 Off,3.5, (Good),137,16%,"['Free Parking', 'Vehicle Rentals', 'Free Wi-Fi']",Mumbai,09-08-2021,11-08-2021,4989
SAI LEELA GRAND,"ýýý 1,218","Andheri East, Mumbai | 560 m from Jb Nagar Metro Station",Exclusive Offer - HDFC Credit Card Users. Get INR 756 Off,2.6,,114,20%,"['Free Parking', 'Free Wi-Fi', 'Kitchenette']",Mumbai,09-08-2021,11-08-2021,4990
Strand Hotel,"ýýý 3,568","South Mumbai, Mumbai | 470 m from Gateway Of India Mumbai",Exclusive Offer - HDFC Credit Card Users. Get INR 1300 Off,3.9, (Good),103,14%,"['Free Parking', 'Free Wi-Fi', 'Elevator/Lift']",Mumbai,09-08-2021,11-08-2021,4991
Hotel Gold Coast,"ýýý 1,252","South Mumbai, Mumbai | 1.9 km from Gateway Of India Mumbai",Exclusive Offer - HDFC Credit Card Users. Get INR 778 Off,2.9,,49,32%,"['Free Parking', 'Air Conditioning', '24-hour Room Service']",Mumbai,09-08-2021,11-08-2021,4992
OYO Home 65363 Cozy Stay Ulwe,"ýýý 1,381","Ulwe, Navi Mumbai | 800 m from Bamandongri Railway Station",Exclusive Offer - HDFC Credit Card Users. Get INR 341 Off,3.8, (Good),385,11%,"['Caretaker', 'Power Backup', 'Washing Machine']",Mumbai,09-08-2021,11-08-2021,4993
Hotel Parklane,"ýýý 2,150","South Mumbai, Mumbai | 210 m from Dadar Railway Station (E) (Swami Narayan Chowk)",Exclusive Offer - HDFC Credit Card Users. Get INR 1336 Off,2.9,,228,32%,"['Business Centre', 'Conference Room', 'Elevator/Lift']",Mumbai,09-08-2021,11-08-2021,4994
Hotel Granville,"ýýý 3,376","Borivali West, Mumbai | 810 m from Poisar Depot",Exclusive Offer - HDFC Credit Card Users. Get INR 1640 Off,4.1, (Very Good),44,51%,"['Free Parking', 'Conference Room', 'Vehicle Rentals']",Mumbai,09-08-2021,11-08-2021,4995
Golden Toff Resort,"ýýý 3,948","Uttan, Mumbai | 38.9 km from city centre280 m from Manori Bus Stop",Exclusive Offer - HDFC Credit Card Users. Get INR 1008 Off,3.6, (Good),162,28%,"['Air Conditioning', 'Room Service']",Mumbai,09-08-2021,11-08-2021,4996
Zahra Guest House,ýýý 336,"South Mumbai, Mumbai | 230 m from Dadar Railway Station (E) (Swami Narayan Chowk)",,4, (Very Good),193,16%,"['ATM', 'Vehicle Rentals', 'Air Conditioning']",Mumbai,09-08-2021,11-08-2021,4997
Hotel Avirahi,"ýýý 2,004","Kandivali West, Mumbai | 130 m from Kandivali Railway Station",Exclusive Offer - HDFC Credit Card Users. Get INR 973 Off,4.5, (Excellent),172,6%,"['Free Parking', 'Business Centre', 'Free Wi-Fi']",Mumbai,09-08-2021,11-08-2021,4998
"OYO Townhouse 058 JB Nagar, Andheri East","ýýý 1,770","Near Mumbai Airport, Mumbai | 910 m from Jb Nagar Metro Station",Exclusive Offer - HDFC Credit Card Users. Get INR 437 Off,2.4,,83,16%,"['Free Parking', 'Free Wi-Fi', 'Room Service']",Mumbai,09-08-2021,11-08-2021,4999
Hotel Aarya International,"ýýý 1,951","Santacruz East, Mumbai | 710 m from Khar Police Thane",Exclusive Offer - HDFC Credit Card Users. Get INR 1212 Off,4, (Very Good),22,16%,"['Kitchenette', 'Air Conditioning', 'Room Service']",Mumbai,09-08-2021,11-08-2021,5000
Sea Palace Hotel,"ýýý 2,397","South Mumbai, Mumbai | 460 m from Gateway Of India Mumbai",Exclusive Offer - HDFC Credit Card Users. Get INR 1164 Off,3.6, (Good),51,51%,"['Free Parking', 'Air Conditioning', 'Room Service']",Mumbai,09-08-2021,11-08-2021,5001
Ashok Deluxe Apartments,"ýýý 4,229","Andheri East, Mumbai | 3.5 km from T2 - Chhatrapati Shivaji International Airport",Exclusive Offer - HDFC Credit Card Users. Get INR 1079 Off,4.1, (Very Good),432,22%,"['Caretaker', 'Living Room', 'Free Wi-Fi']",Mumbai,09-08-2021,11-08-2021,5002
Saras Residency,"ýýý 1,140","Kopar Khairane, Navi Mumbai | 770 m from Ghansoli Railway Station",Exclusive Offer - HDFC Credit Card Users. Get INR 553 Off,3.5, (Good),192,16%,"['Free Parking', 'Free Wi-Fi', 'Air Conditioning']",Mumbai,09-08-2021,11-08-2021,5003
Regent Hotel,"ýýý 2,364","Andheri East, Mumbai | 940 m from Chakala Metro Station",Exclusive Offer - HDFC Credit Card Users. Get INR 1148 Off,3.8, (Good),175,34%,"['Free Parking', 'Elevator/Lift', 'Air Conditioning']",Mumbai,09-08-2021,11-08-2021,5004
Hotel Atlantic,"ýýý 2,406","Vile Parle, Mumbai | 650 m from Juhu Beach",Exclusive Offer - HDFC Credit Card Users. Get INR 1168 Off,3.5, (Good),2,24%,"['Business Centre', 'ATM', 'Free Wi-Fi']",Mumbai,09-08-2021,11-08-2021,5005
Hotel Imperial Palace,"ýýý 1,266","Vile Parle, Mumbai | 490 m from Weh Metro Station",Exclusive Offer - HDFC Credit Card Users. Get INR 614 Off,4.2, (Very Good),370,32%,"['Free Parking', 'Free Wi-Fi', 'Air Conditioning']",Mumbai,09-08-2021,11-08-2021,5006
Mabrook Dormitory,ýýý 257,"Sakinaka, Mumbai | 410 m from Sakinaka Metro Station",,3.3, (Good),261,20%,"['Kitchenette', 'Air Conditioning', 'Room Service']",Mumbai,09-08-2021,11-08-2021,5007
Hotel Apex International,"ýýý 1,009","Near Mumbai Airport, Mumbai | 800 m from Marol naka Metro station",Exclusive Offer - HDFC Credit Card Users. Get INR 367 Off,2.8,,142,16%,"['Butler Services', 'Free Parking', 'Conference Room']",Mumbai,09-08-2021,11-08-2021,5008
Hotel Qubestay Airport,ýýý 903,"Andheri East, Mumbai | 3.2 km from T2 - Chhatrapati Shivaji International Airport",Exclusive Offer - HDFC Credit Card Users. Get INR 230 Off,4.5, (Excellent),92,14%,"['Free Parking', 'Free Wi-Fi', 'Lawn']",Mumbai,09-08-2021,11-08-2021,5009
Hotel Regency,"ýýý 1,269","Vasai, Mumbai | 47.7 km from city centre",Exclusive Offer - HDFC Credit Card Users. Get INR 324 Off,3.3, (Good),100,24%,"['Free Parking', 'Bar', 'Air Conditioning']",Mumbai,09-08-2021,11-08-2021,5010
Hotel Royal Comfort,"ýýý 1,606","Chembur, Mumbai | 920 m from Dr. Ambedkar Udyaan / Chembur Railway Station",Exclusive Offer - HDFC Credit Card Users. Get INR 585 Off,3.7, (Good),50,25%,"['Free Parking', 'Free Wi-Fi', 'Air Conditioning']",Mumbai,09-08-2021,11-08-2021,5011
OYO 19590 Hotel Kamal,"ýýý 1,588","South Mumbai, Mumbai | 310 m from Abdul Rehman Street",Exclusive Offer - HDFC Credit Card Users. Get INR 392 Off,3.3, (Good),133,6%,"['Free Wi-Fi', 'Air Conditioning', 'Room Service']",Mumbai,09-08-2021,11-08-2021,5012
The Shelter Hotel and Resorts,"ýýý 2,068","Varsava, Mumbai | 29.5 km from city centre320 m from Ghodbundar",Exclusive Offer - HDFC Credit Card Users. Get INR 528 Off,3.4, (Good),50,11%,"['Free Parking', 'Bar', 'Lawn']",Mumbai,09-08-2021,11-08-2021,5013
bandra dormitory,ýýý 423,"Bandra West, Mumbai | 590 m from Bandra Bus Stop",,3, (Good),82,51%,"['Luggage Storage', 'Free Wi-Fi', 'Housekeeping']",Mumbai,09-08-2021,11-08-2021,5014
Gagal Home Service Apartment,"ýýý 2,179","Kandivali East, Mumbai | 80 m from Kandivali East",Exclusive Offer - HDFC Credit Card Users. Get INR 556 Off,3.7, (Good),31,6%,"['Kitchenette', 'Caretaker', 'Living Room']",Mumbai,09-08-2021,11-08-2021,5015
